Model,Run 1,Run 2,Run 3,Run 4, Run 5,Run 6, Run 7, Run 8
Transformer-based FER,71.2,70.8,73.5,75.6,72.0,74.9,72.5,75.3
Emo Echo,77.8,80.1,74.9,82.0,76.3,77.1,79.2,78.4
